product_id,product_name,category_id,price,stock_quantity,created_date
PRD-00001,TechNova Work 200,CAT-00001,17164000.0,0,2018-04-13
PRD-00002,TechNova S Prime,CAT-00002,13442000.0,238,2018-01-15
PRD-00003,TechNova Keyboard Prime,CAT-00003,2107000.0,23,2018-02-13
PRD-00004,TechNova Access 300,CAT-00004,1640000.0,206,2018-04-17
PRD-00005,TechNova Suite 100,CAT-00005,4851000.0,154,2018-04-01
PRD-00006,TechNova Printer Ultra,CAT-00006,1160000.0,175,2018-02-03
PRD-00007,TechNova Drive 300,CAT-00007,5481000.0,62,2018-02-06
PRD-00008,TechNova Ultra Lite,CAT-00008,3934000.0,116,2018-03-15
PRD-00009,TechNova Pro 200,CAT-00001,13363000.0,244,2018-02-06
PRD-00010,TechNova X Ultra,CAT-00002,7337000.0,13,2018-04-21
PRD-00011,TechNova Hub Ultra,CAT-00003,2440000.0,256,2018-02-14
PRD-00012,TechNova Router Prime,CAT-00004,3357000.0,67,2018-04-05
PRD-00013,TechNova Cloud Prime,CAT-00005,5969000.0,88,2018-03-23
PRD-00014,TechNova Printer Pro,CAT-00006,11470000.0,157,2018-03-29
PRD-00015,TechNova SSD Max,CAT-00007,404000.0,23,2018-03-09
PRD-00016,TechNova Ultra Ultra,CAT-00008,4650000.0,70,2024-08-07
PRD-00017,TechNova Air Lite,CAT-00001,14634000.0,100,2019-01-17
PRD-00018,TechNova Note 100,CAT-00002,14330000.0,142,2018-05-22
PRD-00019,TechNova Mouse 200,CAT-00003,198000.0,280,2019-07-09
PRD-00020,TechNova Switch Lite,CAT-00004,2703000.0,283,2020-07-28
PRD-00021,TechNova Security 200,CAT-00005,2959000.0,290,2018-05-28
PRD-00022,TechNova Printer Prime,CAT-00006,3296000.0,136,2022-12-03
PRD-00023,TechNova SSD Ultra,CAT-00007,781000.0,218,2021-10-31
PRD-00024,TechNova View Max,CAT-00008,7279000.0,225,2024-05-29
PRD-00025,TechNova Pro 200,CAT-00001,16287000.0,238,2023-04-17
PRD-00026,TechNova S Ultra,CAT-00002,11652000.0,139,2021-02-03
PRD-00027,TechNova Mouse 100,CAT-00003,2176000.0,185,2023-03-24
PRD-00028,TechNova Router Lite,CAT-00004,3203000.0,254,2021-03-26
PRD-00029,TechNova Cloud Lite,CAT-00005,5619000.0,84,2020-08-21
PRD-00030,TechNova Scanner Ultra,CAT-00006,8798000.0,41,2021-10-23
PRD-00031,TechNova Storage 200,CAT-00007,4857000.0,215,2024-07-15
PRD-00032,TechNova View Lite,CAT-00008,9181000.0,176,2024-01-16
PRD-00033,TechNova Air 200,CAT-00001,17103000.0,125,2022-12-07
PRD-00034,TechNova Note Ultra,CAT-00002,14133000.0,266,2023-09-23
PRD-00035,TechNova Keyboard Max,CAT-00003,2170000.0,99,2023-02-01
PRD-00036,TechNova Switch 200,CAT-00004,4392000.0,259,2022-12-06
PRD-00037,TechNova Cloud 200,CAT-00005,2986000.0,5,2023-05-12
